"iso3c","year","imports","exports","total_trade","trade_balance","imports.perc.gdp.pwt","imports.perc.gdp.gl","exports.perc.gdp.pwt","exports.perc.gdp.gl","total.trade.perc.gdp.pwt","total.trade.perc.gdp.gl","trade.balance.perc.gdp.pwt","trade.balance.perc.gdp.gl","imports.per.capita.un","imports.per.capita.cow","exports.per.capita.un","exports.per.capita.cow","total.trade.per.capita.un","total.trade.per.capita.cow","trade.balance.per.capita.un","trade.balance.per.capita.cow","trade.balance.perc.total.trade"
"SDN",1993,1153201117.19606,351721651.4894,1504922768.68546,801479465.70666,0.0202877830264181,0.0350500502408204,0.00618769132695631,0.0106901227996225,0.0264754743533744,0.0457401730404429,0.0141000916994618,0.0243599274411978,41.1460776107347,NA,12.5493863592036,NA,53.6954639699383,NA,28.596691251531,NA,0.532571825201865
"SDN",1994,1151644433.47325,473921935.233711,1625566368.70696,677722498.239539,0.0191141048816001,0.0331809962984002,0.00786579026690397,0.0136545634413347,0.0269798951485041,0.0468355597397348,0.0112483146146961,0.0195264328570655,40.0154424417391,NA,16.4670582082596,NA,56.4825006499986,NA,23.5483842334795,NA,0.41691468972665
"SDN",1995,1262588680.16083,534835518.090177,1797424198.25101,727753162.070653,0.0197698565551748,0.0362116622054785,0.0083745574781397,0.0153393448087199,0.0281444140333145,0.0515510070141984,0.0113952990770351,0.0208723173967586,42.7084084890177,NA,18.0913817302093,NA,60.799790219227,NA,24.6170267588084,NA,0.404886705530501
"SDN",1996,1298452377.75412,495524991.223817,1793977368.97794,802927386.530303,0.0191952266772563,0.0354877535034071,0.00732542424639296,0.0135430987263044,0.0265206509236493,0.0490308522297115,0.0118698024308634,0.0219446547771027,42.7445889243217,NA,16.3125058835243,NA,59.057094807846,NA,26.4320830407974,NA,0.447568291782714
"SDN",1997,1510656753.18691,509559491.395884,2020216244.58279,1001097261.79103,0.0210567753737551,0.0393917802082706,0.00710265897746294,0.0132872377830103,0.028159434351218,0.0526790179912809,0.0139541163962922,0.0261045424252603,48.3812693180537,NA,16.319481533304,NA,64.7007508513577,NA,32.0617877847497,NA,0.495539655457908
"SDN",1998,1604828304.10136,541634343.857654,2146462647.95901,1063193960.24371,0.0206661816239363,0.0402528006901187,0.00697489799707377,0.0135854404078658,0.0276410796210101,0.0538382410979845,0.0136912836268626,0.0266673602822529,49.988422131241,NA,16.8712417099942,NA,66.8596638412352,NA,33.1171804212468,NA,0.495323765011543
"SDN",1999,1576995140.25096,705573430.969187,2282568571.22015,871421709.281773,0.0194826312295842,0.0340900889527291,0.00871684801690484,0.0152524636319387,0.028199479246489,0.0493425525846679,0.0107657832126794,0.0188376253207904,47.7689134659364,NA,21.3725935531211,NA,69.1415070190576,NA,26.3963199128153,NA,0.381772412127779
"SDN",2000,1452761425.5221,1618730918.3387,3071492343.8608,-165969492.8166,0.0165591203631015,0.0280618138111742,0.0184509029778315,0.0312677118505447,0.035010023340933,0.0593295256617189,-0.00189178261472994,-0.00320589803937053,42.7886847762164,NA,47.6770416570069,NA,90.4657264332234,NA,-4.88835688079052,NA,-0.0540354571120238
"SDN",2001,1889150616.22195,1700284592.47117,3589435208.69312,188866023.75078,0.019433423513104,0.036207233339476,0.0174905856073975,0.0325874498594699,0.0369240091205016,0.0687946831989459,0.00194283790570654,0.00361978348000607,54.1009369174933,NA,48.6922475578101,NA,102.793184475303,NA,5.40868935968326,NA,0.0526171981857681
"SDN",2002,2165253621.27652,1922224078.31814,4087477699.59466,243029542.95838,0.0210149225462955,0.0399808269848558,0.0186561933094309,0.035493351700783,0.0396711158557264,0.0754741786856389,0.00235872923686463,0.00448747528407283,60.2849241661753,NA,53.5185031689211,NA,113.803427335096,NA,6.76642099725422,NA,0.059457093302914
