"iso3c","year","mil.expenditure.per.capita.cow.un.ln","mil.expenditure.perc.gdp.cow.pwt.ln","mil.expenditure.per.personnel.cow.cow.ln","mil.personnel.per.capita.cow.un.ln","gdp.per.mil.personnel.pwt.cow.ln","mil.cap","mil.cap.sq"
"BRA",2010,5.30815469266399,0.19803882777652,11.7050640224703,-6.39690932980633,16.1121953806819,0.634099365665796,0.402082005537765
"BRA",2011,5.35314831187033,0.213620793195074,11.7905829302255,-6.43743461835519,16.1821323230185,0.670670977017644,0.449799559413801
"BRA",2012,5.28288485139818,0.133715500277848,11.7297071874768,-6.44682233607866,16.2011618731871,0.58282493162945,0.339684900928873
"BOL",1950,3.82703077129769,0.0373241530906082,9.66573256385326,-5.83870179255557,14.2335785967507,-0.45146143962011,0.203817431463862
"BOL",1951,3.95011566415392,0.0888475083316229,9.80486916572,-5.85475350156608,14.3211918433765,-0.341350643366059,0.116520261726422
"BOL",1952,4.07251415220817,0.223579502409017,9.94400576758674,-5.87149161537856,14.3255964511658,-0.192477265035946,0.0370474975557178
"BOL",1953,4.41468936128685,0.75684541679287,10.3032594852322,-5.88857012394535,14.1515842544274,0.299496422491736,0.0896981070853484
"BOL",1954,0.956613727141851,-2.71119466354652,6.8628834281866,-5.90626970104475,14.1792482777212,-3.77708229664647,14.2663506756402
"BOL",1955,1.14323898263954,-2.60140057028807,6.77951557493037,-5.63627659229083,13.9860863312065,-3.57696870530289,12.7947051187162
"BOL",1956,1.22950232027494,-2.45127253251604,6.53572949809333,-5.30622717781839,13.5921722165975,-3.42485165504222,11.7296088590455
"BOL",1957,1.64943009268783,-2.01494505538552,6.97416025573665,-5.32473016304882,13.5942754971103,-2.92392182960097,8.54931886561706
"BOL",1958,1.71288546343322,-1.91990637245789,7.40437041027901,-5.6914849468458,13.929446968725,-2.8569951806483,8.1624214622476
"BOL",1959,1.96885792627814,-1.66892853804447,7.67928494365301,-5.71042701737487,13.9533836676856,-2.55919934592593,6.54950129218773
"BOL",1960,2.26782544615279,-1.39380686123223,7.99711321121735,-5.72928776506456,13.9960902584377,-2.2196865947035,4.92700857870641
"BOL",1961,2.40368795210441,-1.25690885736066,7.74681933444224,-5.34313138233783,13.608898377791,-2.03537835079549,4.14276503088697
"BOL",1962,2.42726939465663,-1.27526493139062,7.7896043133281,-5.36233491867148,13.6700394307068,-2.02860832466121,4.11525173488477
"BOL",1963,3.20384619348721,-0.544388094110707,8.91095645823609,-5.70711026474888,14.0605147383349,-1.15734075410205,1.33943762110551
"BOL",1964,3.24176887138879,-0.533547273487146,8.96861661897599,-5.7268477475872,14.1073340784512,-1.12670707557005,1.26946883413961
"BOL",1965,3.39735770971375,-0.403144244259676,8.93641293597695,-5.5390552262632,13.9447273662247,-0.94382764110806,0.890810616119605
"BOL",1966,3.33171928704197,-0.516639682340654,8.44442970580452,-5.11271041876255,13.5662395741333,-1.01732238162099,1.034944828147
"BOL",1967,3.30727099733431,-0.5991899034308,8.66314947440688,-5.35587847707257,13.8675095638258,-1.08857713321933,1.18500017496801
"BOL",1968,3.17959779277342,-0.560611930943886,8.71832062747631,-5.53872283470288,13.8841027444083,-1.17168137280574,1.37283723937994
"BOL",1969,3.21842488496813,-0.531042598415961,8.61522919823082,-5.39680431326269,13.7514419826349,-1.12156817933935,1.25791518090659
"BOL",1970,3.33311842886456,-0.382494466481105,8.91307020580054,-5.57995177693597,13.9007348582697,-0.98189599996774,0.964119754752648
"BOL",1971,3.06519406355354,-0.678948218769019,8.6660096696528,-5.60081560609925,13.9501280744099,-1.31205263232812,1.72148210999915
"BOL",1972,3.2828480937612,-0.517090853788631,8.90452691492385,-5.62167882116264,14.0267879547006,-1.08347073610896,1.1739088360045
"BOL",1973,3.22747388767956,-0.606999479011535,8.81326497164164,-5.58579108396208,14.0254346366413,-1.16274268843392,1.35197055950655
