"","iso3c","WEOG","Central America","Carribean","South America","Eastern Europe","Middle East","North Africa","East Africa","West Africa","Central Africa","Southern Africa","Central Asia","South Asia","East Asia","Southeast Asia"
"174","SUR",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"175","SVK",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"176","SVN",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"177","SWE",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"178","SWZ",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"179","SYC",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"180","SYR",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"181","TCD",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"182","TGO",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"183","THA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"184","TJK",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"185","TKL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"186","TKM",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"187","TLS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"188","TON",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"189","TTO",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"190","TUN",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"191","TUR",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"192","TUV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"193","TWN",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"194","TZA",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"195","UGA",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"196","UKR",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"197","URY",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"198","USA",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"199","UZB",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"200","VAT",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"201","VCT",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"202","VEN",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"203","VNM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"204","VUT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"205","WSM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"206","YAR",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"207","YEM",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"208","YPR",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"209","YUG",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"210","ZAF",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"211","ZMB",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"212","ZWE",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
