"iso3c","year","shec"
"BHS",1989,34.65
"BHS",1990,33.84
"BHS",1991,32.98
"BHS",1992,32.51
"BHS",1993,32.2
"BHS",1994,32.11
"BHS",1995,32.01
"BHS",1996,31.74
"BHS",1997,31.33
"BHS",1998,30.7
"BHS",1999,30.03
"BHS",2000,29.29
"BHS",2001,28.58
"BHS",2002,28.11
"BHS",2003,27.68
"BHS",2004,27.39
"BHS",2005,27.21
"BHS",2006,26.76
"BHS",2007,26.2
"BHS",2008,25.75
"BHR",1972,17.21
"BHR",1973,17.23
"BHR",1974,17.2
"BHR",1975,16.79
"BHR",1976,17.51
"BHR",1977,17.22
"BHR",1978,17.31
"BHR",1979,17.15
"BHR",1980,16.81
"BHR",1981,16.34
"BHR",1982,15.87
"BHR",1983,16.05
"BHR",1984,16.03
"BHR",1985,15.6
"BHR",1986,15.68
"BHR",1987,15.82
"BHR",1988,16.01
"BHR",1989,16.11
"BHR",1990,16.18
"BHR",1991,16.56
"BHR",1992,16.46
"BHR",1993,16.19
"BHR",1994,16.56
"BHR",1995,16.47
"BHR",1996,16.69
"BHR",1997,16.83
"BHR",1998,16.89
"BHR",1999,16.6
"BHR",2000,16.82
"BHR",2001,16.88
"BHR",2002,17.26
"BHR",2003,17.3
"BHR",2004,17.32
"BHR",2005,17.16
"BHR",2006,17.04
"BHR",2007,16.8
"BHR",2008,16.32
"BGD",1971,49.65
"BGD",1972,49.79
"BGD",1973,50.82
"BGD",1974,50.92
"BGD",1975,51.16
"BGD",1976,51.34
"BGD",1977,51.31
"BGD",1978,50.85
"BGD",1979,50.33
"BGD",1980,49.4
"BGD",1981,48.55
"BGD",1982,48.11
"BGD",1983,47.7
"BGD",1984,47.28
"BGD",1985,46.93
"BGD",1986,45.81
"BGD",1987,45.36
"BGD",1988,45.09
"BGD",1989,44.88
"BGD",1990,44.69
"BGD",1991,44.66
"BGD",1992,44.4
"BGD",1993,43.88
"BGD",1994,43.33
"BGD",1995,42.72
"BGD",1996,42.08
"BGD",1997,41.39
"BGD",1998,40.63
"BGD",1999,39.84
"BGD",2000,39.01
"BGD",2001,38.28
"BGD",2002,37.58
"BGD",2003,36.89
"BGD",2004,36.21
"BGD",2005,35.53
"BGD",2006,34.81
"BGD",2007,34.1
"BGD",2008,33.4
"ARM",1993,57.56
"ARM",1994,56.83
"ARM",1995,55.35
"ARM",1996,54.47
"ARM",1997,53.59
"ARM",1998,52.77
"ARM",1999,51.98
"ARM",2000,51.41
"ARM",2001,50.74
"ARM",2002,49.89
"ARM",2003,48.59
"ARM",2004,46.98
"ARM",2005,45.24
"ARM",2006,43.24
"ARM",2007,41.1
"ARM",2008,39
"BEL",1950,34.96
"BEL",1951,34.7
"BEL",1952,34.48
"BEL",1953,34.24
"BEL",1954,34.06
"BEL",1955,33.78
"BEL",1956,33.54
"BEL",1957,33.17
"BEL",1958,32.74
"BEL",1959,32.59
"BEL",1960,32.41
"BEL",1961,32.14
"BEL",1962,31.75
"BEL",1963,31.28
"BEL",1964,31.02
"BEL",1965,30.48
"BEL",1966,30.02
"BEL",1967,29.5
"BEL",1968,29.08
"BEL",1969,28.76
"BEL",1970,28.21
"BEL",1971,27.77
"BEL",1972,27.39
"BEL",1973,27.13
"BEL",1974,26.83
"BEL",1975,26.35
"BEL",1976,26.16
"BEL",1977,25.88
"BEL",1978,25.63
"BEL",1979,25.43
"BEL",1980,25.26
"BEL",1981,24.9
"BEL",1982,24.81
"BEL",1983,24.75
"BEL",1984,24.8
