"iso3c","year","v2x_polyarchy","v2x_libdem","v2x_delibdem","v2x_partipdem","v2x_egaldem","vdem.hl","vdem.hl.sq"
"MEX",1972,0.249,0.111,0.123,0.146,0.13,-1.47526270225804,2.1764000406737
"MEX",1973,0.249,0.111,0.124,0.145,0.129,-1.47747965861168,2.18294614161127
"MEX",1974,0.251,0.111,0.125,0.146,0.13,-1.46882592616856,2.15744960138491
"MEX",1975,0.251,0.111,0.125,0.146,0.13,-1.46882592616856,2.15744960138491
"MEX",1976,0.262,0.115,0.137,0.15,0.133,-1.41159067435436,1.99258823192421
"MEX",1977,0.276,0.123,0.163,0.162,0.145,-1.28727967336428,1.65708895745683
"MEX",1978,0.295,0.129,0.168,0.169,0.153,-1.21061937488028,1.46559927083553
"MEX",1979,0.296,0.129,0.169,0.169,0.155,-1.20380537194225,1.44914737351703
"MEX",1980,0.3,0.13,0.17,0.171,0.156,-1.18832135624817,1.41210764571549
"MEX",1981,0.304,0.133,0.172,0.172,0.159,-1.16640870642855,1.36050927043233
"MEX",1982,0.313,0.138,0.18,0.176,0.163,-1.11548979081785,1.24431747341885
"MEX",1983,0.32,0.145,0.19,0.179,0.166,-1.06501726206564,1.13426176849779
"MEX",1984,0.32,0.145,0.19,0.179,0.166,-1.06501726206564,1.13426176849779
"MEX",1985,0.324,0.146,0.192,0.19,0.167,-1.02924364805734,1.05934248706638
"MEX",1986,0.327,0.147,0.193,0.195,0.168,-1.00911367042651,1.01831039984166
"MEX",1987,0.331,0.148,0.204,0.196,0.168,-0.98098107874988,0.962323876865279
"MEX",1988,0.344,0.161,0.21,0.202,0.17,-0.913544158743096,0.834562929973631
"MEX",1989,0.369,0.176,0.248,0.216,0.183,-0.734857018067493,0.540014837003047
"MEX",1990,0.393,0.191,0.272,0.223,0.193,-0.60075024642811,0.360900858583434
"MEX",1991,0.415,0.202,0.284,0.235,0.204,-0.483949664250744,0.234207277528408
"MEX",1992,0.441,0.216,0.297,0.247,0.215,-0.354352455130946,0.125565662457329
"MEX",1993,0.455,0.221,0.305,0.252,0.22,-0.291731546203415,0.0851072950502352
"MEX",1994,0.474,0.261,0.312,0.27,0.233,-0.124712278545625,0.0155531524200416
"MEX",1995,0.493,0.278,0.343,0.289,0.248,0.0502149646895131,0.00252154267876905
"MEX",1996,0.515,0.291,0.36,0.302,0.26,0.182395026250532,0.0332679456009323
"MEX",1997,0.559,0.349,0.385,0.336,0.283,0.49869349759447,0.248695204543006
"MEX",1998,0.602,0.377,0.413,0.362,0.305,0.751233156842058,0.564351255938884
"MEX",1999,0.609,0.383,0.418,0.369,0.309,0.801902278784123,0.64304726471917
"MEX",2000,0.671,0.488,0.479,0.426,0.35,1.36227940352618,1.85580517327164
"MEX",2001,0.682,0.492,0.547,0.424,0.35,1.49419263031504,2.23261161648777
"MEX",2002,0.691,0.498,0.555,0.429,0.355,1.55060631216412,2.40437993532322
"MEX",2003,0.699,0.504,0.561,0.435,0.363,1.60961417721539,2.59085779949277
"MEX",2004,0.707,0.51,0.568,0.443,0.368,1.66902209518609,2.78563475421937
"MEX",2005,0.707,0.51,0.567,0.443,0.368,1.66737036937096,2.78012394865626
"MEX",2006,0.67,0.48,0.539,0.417,0.346,1.42097851536181,2.01917994111986
"MEX",2007,0.642,0.458,0.533,0.398,0.328,1.25972061475042,1.58689602722717
"MEX",2008,0.642,0.459,0.525,0.399,0.329,1.25200157446775,1.56750794246973
"MEX",2009,0.646,0.464,0.531,0.402,0.331,1.28611723768472,1.65409754906978
"MEX",2010,0.651,0.467,0.538,0.41,0.345,1.35212718377753,1.82824792111016
"MEX",2011,0.652,0.467,0.538,0.41,0.344,1.3518960385605,1.82762289907557
"MEX",2012,0.649,0.461,0.542,0.407,0.34,1.33064259676154,1.77060972031631
"MEX",2013,0.619,0.422,0.493,0.374,0.319,1.03319806400718,1.06749823946818
"MEX",2014,0.621,0.423,0.5,0.373,0.325,1.05823552319968,1.1198624225617
