"iso3c","year","oil","exporter"
"AUT",1984,0,0
"AUT",1985,0,0
"AUT",1986,0,0
"AUT",1987,0,0
"AUT",1988,0,0
"AUT",1989,0,0
"AUT",1990,0,0
"AUT",1991,0,0
"AUT",1992,0,0
"AUT",1993,0,0
"AUT",1994,0,0
"AUT",1995,0,0
"AUT",1996,1.027,0
"AUT",1997,0.505,0
"AUT",1998,0.888,0
"AUT",1999,1.03,0
"AUT",2000,1.228,0
"AUT",2001,1.272,0
"AUT",2002,0,0
"AUT",2003,0,0
"AUT",2004,0,0
"AUT",2005,0,0
"AUT",2006,0,0
"AUT",2007,0,0
"AUT",2008,0,0
"AUT",2009,0,0
"AUT",2010,0,0
"AUT",2011,0,0
"AUT",2012,0,0
"AUT",2013,0,0
"AUT",2014,0,0
"AUT",2015,0,0
"AUT",2016,0,0
"AZE",1980,0,0
"AZE",1981,0,0
"AZE",1982,0,0
"AZE",1983,0,0
"AZE",1984,0,0
"AZE",1985,0,0
"AZE",1986,0,0
"AZE",1987,0,0
"AZE",1988,0,0
"AZE",1989,0,0
"AZE",1990,0,0
"AZE",1991,0,0
"AZE",1992,0,0
"AZE",1993,0,0
"AZE",1994,0,0
"AZE",1995,0,0
"AZE",1996,1.103,0
"AZE",1997,4.66,0
"AZE",1998,38.06,0
"AZE",1999,113.68,0
"AZE",2000,112.76,0
"AZE",2001,169.24,0
"AZE",2002,177.62,0
"AZE",2003,179.94,0
"AZE",2004,180.96,0
"AZE",2005,285.92,0
"AZE",2006,496.4,0
"AZE",2007,695.6,0
"AZE",2008,737.16,0
"AZE",2009,886.64,0
"AZE",2010,853.18,0
"AZE",2011,745.36,0
"AZE",2012,694.56,0
"AZE",2013,692.083,0
"AZE",2014,697.4,0
"AZE",2015,674.611,0
"AZE",2016,658.577,0
"BDI",1980,0,0
"BDI",1981,0,0
"BDI",1982,0,0
"BDI",1983,0,0
"BDI",1984,0,0
"BDI",1985,0,0
"BDI",1986,0,0
"BDI",1987,0,0
"BDI",1988,0,0
"BDI",1989,0,0
"BDI",1990,0,0
"BDI",1991,0,0
"BDI",1992,0,0
"BDI",1993,0,0
"BDI",1994,0,0
"BDI",1995,0,0
"BDI",1996,0,0
"BDI",1997,0,0
"BDI",1998,0,0
"BDI",1999,0,0
"BDI",2000,0,0
"BDI",2001,0,0
"BDI",2002,0,0
"BDI",2003,0,0
"BDI",2004,0,0
"BDI",2005,0,0
"BDI",2006,0,0
"BDI",2007,0,0
"BDI",2008,0,0
"BDI",2009,0,0
