"","iso3c","year","cn"
"382","CUB",1943,1
"383","CUB",1944,1
"384","CUB",1945,1
"385","CUB",1946,1
"386","CUB",1947,1
"387","CUB",1948,1
"388","CUB",1949,1
"389","CUB",1950,1
"390","CUB",1951,1
"391","CUB",1952,1
"392","CUB",1953,1
"393","CUB",1954,1
"394","CUB",1955,1
"395","CUB",1956,1
"396","CUB",1957,1
"397","CUB",1958,1
"398","CUB",1959,1
"399","CUB",1960,1
"400","CUB",1961,1
"401","CUB",1962,1
"402","CUB",1963,1
"403","CUB",1964,1
"404","CUB",1965,1
"405","CUB",1966,1
"406","CUB",1967,1
"407","CUB",1968,1
"408","CUB",1969,1
"409","CUB",1970,1
"410","CUB",1971,1
"411","CUB",1972,1
"412","CUB",1973,1
"413","CUB",1974,1
"414","CUB",1975,1
"415","CUB",1976,1
"416","CUB",1977,1
"417","CUB",1978,1
"418","CUB",1979,1
"419","CUB",1980,1
"420","CUB",1981,1
"421","CUB",1982,1
"422","CUB",1983,1
"423","CUB",1984,1
"424","CUB",1985,1
"425","CUB",1986,1
"426","CUB",1987,1
"427","CUB",1988,1
"428","CUB",1989,1
"429","CUB",1990,1
"430","CUB",1991,1
"431","CUB",1992,1
"432","CUB",1993,1
"433","CUB",1994,1
"434","CUB",1995,1
"435","CUB",1996,1
"436","CUB",1997,1
"437","CUB",1998,1
"438","CUB",1999,1
"439","CUB",2000,1
"440","CUB",2001,1
"441","CUB",2002,1
"442","CUB",2003,1
"443","CUB",2004,1
"444","CUB",2005,1
"445","CUB",2006,1
"446","CUB",2007,1
"447","CUB",2008,1
"448","CUB",2009,1
"449","CUB",2010,1
"450","CUB",2011,1
"451","CUB",2012,1
"452","CUB",2013,1
"453","CUB",2014,1
"454","CUB",2015,1
"455","CUB",2016,1
"456","HTI",1859,1
"457","HTI",1860,1
"458","HTI",1861,1
"459","HTI",1862,1
"460","HTI",1863,1
"461","HTI",1864,1
"462","HTI",1865,1
"463","HTI",1866,1
"464","HTI",1867,1
"465","HTI",1868,1
"466","HTI",1869,1
"467","HTI",1870,1
"468","HTI",1871,1
"469","HTI",1872,1
"470","HTI",1873,1
"471","HTI",1874,1
"472","HTI",1875,1
"473","HTI",1876,1
"474","HTI",1877,1
"475","HTI",1878,1
"476","HTI",1879,1
"477","HTI",1880,1
"478","HTI",1881,1
"479","HTI",1882,1
"480","HTI",1883,1
"481","HTI",1884,1
"482","HTI",1885,1
"483","HTI",1886,1
"484","HTI",1887,1
"485","HTI",1888,1
"486","HTI",1889,1
"487","HTI",1890,1
"488","HTI",1891,1
"489","HTI",1892,1
"490","HTI",1893,1
"491","HTI",1894,1
"492","HTI",1895,1
"493","HTI",1896,1
"494","HTI",1897,1
"495","HTI",1898,1
"496","HTI",1899,1
"497","HTI",1900,1
"498","HTI",1901,1
"499","HTI",1902,1
"500","HTI",1903,1
"501","HTI",1904,1
"502","HTI",1905,1
"503","HTI",1906,1
"504","HTI",1907,1
"505","HTI",1908,1
"506","HTI",1909,1
"507","HTI",1910,1
"508","HTI",1911,1
"509","HTI",1912,1
"510","HTI",1913,1
"511","HTI",1914,1
"512","HTI",1915,1
"513","HTI",1934,1
"514","HTI",1935,1
"515","HTI",1936,1
"516","HTI",1937,1
"517","HTI",1938,1
"518","HTI",1939,1
"519","HTI",1940,1
"520","HTI",1941,1
"521","HTI",1942,1
"522","HTI",1943,1
"523","HTI",1944,1
"524","HTI",1945,1
"525","HTI",1946,1
"526","HTI",1947,1
"527","HTI",1948,1
"528","HTI",1949,1
"529","HTI",1950,1
"530","HTI",1951,1
"531","HTI",1952,1
"532","HTI",1953,1
"533","HTI",1954,1
"534","HTI",1955,1
"535","HTI",1956,1
