id,mission_acronym,mission_name,lead_department,mission_isactive,start_date,end_date,mission_location,mission_longitude,mission_latitude,last_update
34,UNMEE,United Nations Mission in Ethiopia and Eritrea,DPO,No,2000-07-01,2008-07-01,Asmara,"38,8367","12,1817",2024-02-19
35,UNISFA,United Nations Organization Interim Security Force for Abyei,DPO,Yes,2011-06-27,,Abyei,"28,4333","9,6000",2024-02-19
36,UNIPOM,United Nations India-Pakistan Observation Mission,DPO,No,1965-09-01,1966-03-01,,,,2024-02-19
37,UNIKOM,United Nations Iraq-Kuwait Observation Mission,DPO,No,1991-04-01,2003-10-01,Umm Qasr,"47,9294","30,0342",2024-02-19
38,UNIIMOG,United Nations Iran-Iraq Military Observer Group,DPO,No,1988-08-01,1991-02-01,Tehran,"47,9282","34,5147",2024-02-19
39,UNIFIL,United Nations Interim Force in Lebanon,DPO,Yes,1978-03-19,,Naqoura,"35,1342","33,1200",2024-02-19
4,UNTAC,United Nations Transitional Authority in Cambodia,DPO,No,1992-03-01,1993-09-01,Phnom Penh,"104,9170","11,5500",2024-02-19
40,UNGOMAP,United Nations Good Offices Mission in Afghanistan and Pakistan,DPO,No,1988-05-01,1990-03-01,,,,2024-02-19
41,UNGCI,United Nations Guards Contingent in Iraq,DPO,No,1991-05-01,2003-11-30,Baghdad,"44,4333","33,3333",2024-02-19
42,UNFOR,United Nations Force,DPO,No,,,Zagreb,"15,9833","45,8167",2024-02-19
43,UNFICYP,United Nations Peacekeeping Force in Cyprus,DPO,Yes,1964-03-27,,Nicosia,"33,3667","35,1667",2024-02-19
44,UNEF II,United Nations Emergency Force II,DPO,No,1973-10-01,1979-07-01,Gaza,"34,4667","31,5000",2024-02-19
45,UNEF I,United Nations Emergency Force I,DPO,No,1956-11-01,1967-06-01,Gaza,"34,4667","31,5000",2024-02-19
46,UNEF,United Nations Emergency Force (I & II),DPO,No,1956-11-01,1979-07-01,Gaza,"31,5000","34,4667",2024-02-19
